# x	y	u	v	mask
  2.3933	  5.0767	     nan	     nan	  1.0000
  2.4658	  5.0767	     nan	     nan	  1.0000
  2.5383	  5.0767	     nan	     nan	  1.0000
  2.6109	  5.0767	     nan	     nan	  1.0000
  2.6834	  5.0767	     nan	     nan	  1.0000
  2.7559	  5.0767	     nan	     nan	  1.0000
  2.8284	  5.0767	     nan	     nan	  1.0000
  2.9010	  5.0767	     nan	     nan	  1.0000
  2.9735	  5.0767	     nan	     nan	  1.0000
  3.0460	  5.0767	     nan	     nan	  1.0000
  3.1185	  5.0767	     nan	     nan	  1.0000
  3.1910	  5.0767	     nan	     nan	  1.0000
  3.2636	  5.0767	     nan	     nan	  1.0000
  3.3361	  5.0767	     nan	     nan	  1.0000
  3.4086	  5.0767	     nan	     nan	  1.0000
  3.4811	  5.0767	     nan	     nan	  1.0000
  3.5537	  5.0767	     nan	     nan	  1.0000
  3.6262	  5.0767	     nan	     nan	  1.0000
  3.6987	  5.0767	     nan	     nan	  1.0000
  3.7712	  5.0767	     nan	     nan	  1.0000
  3.8438	  5.0767	     nan	     nan	  1.0000
  3.9163	  5.0767	     nan	     nan	  1.0000
  3.9888	  5.0767	     nan	     nan	  1.0000
  4.0613	  5.0767	     nan	     nan	  1.0000
  4.1339	  5.0767	     nan	     nan	  1.0000
  4.2064	  5.0767	     nan	     nan	  1.0000
  4.2789	  5.0767	     nan	     nan	  1.0000
  4.3514	  5.0767	     nan	     nan	  1.0000
  4.4240	  5.0767	     nan	     nan	  1.0000
  4.4965	  5.0767	     nan	     nan	  1.0000
  4.5690	  5.0767	     nan	     nan	  1.0000
  4.6415	  5.0767	     nan	     nan	  1.0000
  4.7140	  5.0767	     nan	     nan	  1.0000
  4.7866	  5.0767	     nan	     nan	  1.0000
  4.8591	  5.0767	     nan	     nan	  1.0000
  4.9316	  5.0767	     nan	     nan	  1.0000
  5.0041	  5.0767	     nan	     nan	  1.0000
  5.0767	  5.0767	     nan	     nan	  1.0000
  5.1492	  5.0767	     nan	     nan	  1.0000
  5.2217	  5.0767	     nan	     nan	  1.0000
  0.0725	  5.0041	     nan	     nan	  1.0000
  0.1450	  5.0041	     nan	     nan	  1.0000
  0.2176	  5.0041	     nan	     nan	  1.0000
  0.2901	  5.0041	     nan	     nan	  1.0000
  0.3626	  5.0041	     nan	     nan	  1.0000
  0.4351	  5.0041	     nan	     nan	  1.0000
  0.5077	  5.0041	     nan	     nan	  1.0000
  0.5802	  5.0041	     nan	     nan	  1.0000
  0.6527	  5.0041	     nan	     nan	  1.0000
  0.7252	  5.0041	     nan	     nan	  1.0000
  0.7978	  5.0041	     nan	     nan	  1.0000
  0.8703	  5.0041	     nan	     nan	  1.0000
  0.9428	  5.0041	     nan	     nan	  1.0000
  1.0153	  5.0041	     nan	     nan	  1.0000
  1.0879	  5.0041	     nan	     nan	  1.0000
  1.1604	  5.0041	     nan	     nan	  1.0000
  1.2329	  5.0041	     nan	     nan	  1.0000
  1.3054	  5.0041	     nan	     nan	  1.0000
  1.3780	  5.0041	     nan	     nan	  1.0000
  1.4505	  5.0041	     nan	     nan	  1.0000
  1.5230	  5.0041	     nan	     nan	  1.0000
  1.5955	  5.0041	     nan	     nan	  1.0000
  1.6680	  5.0041	     nan	     nan	  1.0000
  1.7406	  5.0041	     nan	     nan	  1.0000
  1.8131	  5.0041	     nan	     nan	  1.0000
  1.8856	  5.0041	     nan	     nan	  1.0000
  1.9581	  5.0041	     nan	     nan	  1.0000
  2.0307	  5.0041	     nan	     nan	  1.0000
  2.1032	  5.0041	     nan	     nan	  1.0000
  2.1757	  5.0041	     nan	     nan	  1.0000
  2.2482	  5.0041	     nan	     nan	  1.0000
  2.3208	  5.0041	     nan	     nan	  1.0000
  2.3933	  5.0041	     nan	     nan	  1.0000
  2.4658	  5.0041	     nan	     nan	  1.0000
  2.5383	  5.0041	     nan	     nan	  1.0000
  2.6109	  5.0041	     nan	     nan	  1.0000
  2.6834	  5.0041	     nan	     nan	  1.0000
  2.7559	  5.0041	     nan	     nan	  1.0000
  2.8284	  5.0041	     nan	     nan	  1.0000
  2.9010	  5.0041	     nan	     nan	  1.0000
  2.9735	  5.0041	     nan	     nan	  1.0000
  3.0460	  5.0041	     nan	     nan	  1.0000
  3.1185	  5.0041	     nan	     nan	  1.0000
  3.1910	  5.0041	     nan	     nan	  1.0000
  3.2636	  5.0041	     nan	     nan	  1.0000
  3.3361	  5.0041	     nan	     nan	  1.0000
  3.4086	  5.0041	     nan	     nan	  1.0000
  3.4811	  5.0041	     nan	     nan	  1.0000
  3.5537	  5.0041	     nan	     nan	  1.0000
  3.6262	  5.0041	     nan	     nan	  1.0000
  3.6987	  5.0041	     nan	     nan	  1.0000
  3.7712	  5.0041	     nan	     nan	  1.0000
  3.8438	  5.0041	     nan	     nan	  1.0000
  3.9163	  5.0041	     nan	     nan	  1.0000
  3.9888	  5.0041	     nan	     nan	  1.0000
  4.0613	  5.0041	     nan	     nan	  1.0000
  4.1339	  5.0041	     nan	     nan	  1.0000
  4.2064	  5.0041	     nan	     nan	  1.0000
  4.2789	  5.0041	     nan	     nan	  1.0000
  4.3514	  5.0041	     nan	     nan	  1.0000
  4.4240	  5.0041	     nan	     nan	  1.0000
  4.4965	  5.0041	     nan	     nan	  1.0000
  4.5690	  5.0041	     nan	     nan	  1.0000
  4.6415	  5.0041	     nan	     nan	  1.0000
  4.7140	  5.0041	     nan	     nan	  1.0000
  4.7866	  5.0041	     nan	     nan	  1.0000
  4.8591	  5.0041	     nan	     nan	  1.0000
  4.9316	  5.0041	     nan	     nan	  1.0000
  5.0041	  5.0041	     nan	     nan	  1.0000
  5.0767	  5.0041	     nan	     nan	  1.0000
  5.1492	  5.0041	     nan	     nan	  1.0000
  5.2217	  5.0041	     nan	     nan	  1.0000
  0.0725	  4.9316	     nan	     nan	  1.0000
  0.1450	  4.9316	     nan	     nan	  1.0000
  0.2176	  4.9316	     nan	     nan	  1.0000
  0.2901	  4.9316	     nan	     nan	  1.0000
  0.3626	  4.9316	     nan	     nan	  1.0000
  0.4351	  4.9316	     nan	     nan	  1.0000
  0.5077	  4.9316	     nan	     nan	  1.0000
  0.5802	  4.9316	     nan	     nan	  1.0000
  0.6527	  4.9316	     nan	     nan	  1.0000
  0.7252	  4.9316	     nan	     nan	  1.0000
  0.7978	  4.9316	     nan	     nan	  1.0000
  0.8703	  4.9316	     nan	     nan	  1.0000
  0.9428	  4.9316	     nan	     nan	  1.0000
  1.0153	  4.9316	     nan	     nan	  1.0000
  1.0879	  4.9316	     nan	     nan	  1.0000
  1.1604	  4.9316	     nan	     nan	  1.0000
  1.2329	  4.9316	     nan	     nan	  1.0000
  1.3054	  4.9316	     nan	     nan	  1.0000
  1.3780	  4.9316	     nan	     nan	  1.0000
  1.4505	  4.9316	     nan	     nan	  1.0000
  1.5230	  4.9316	     nan	     nan	  1.0000
  1.5955	  4.9316	     nan	     nan	  1.0000
  1.6680	  4.9316	     nan	     nan	  1.0000
  1.7406	  4.9316	     nan	     nan	  1.0000
  1.8131	  4.9316	     nan	     nan	  1.0000
  1.8856	  4.9316	     nan	     nan	  1.0000
  1.9581	  4.9316	     nan	     nan	  1.0000
  2.0307	  4.9316	     nan	     nan	  1.0000
  2.1032	  4.9316	     nan	     nan	  1.0000
  2.1757	  4.9316	     nan	     nan	  1.0000
  2.2482	  4.9316	     nan	     nan	  1.0000
  2.3208	  4.9316	     nan	     nan	  1.0000
  2.3933	  4.9316	     nan	     nan	  1.0000
  2.4658	  4.9316	     nan	     nan	  1.0000
  2.5383	  4.9316	     nan	     nan	  1.0000
  2.6109	  4.9316	     nan	     nan	  1.0000
  2.6834	  4.9316	     nan	     nan	  1.0000
  2.7559	  4.9316	     nan	     nan	  1.0000
  2.8284	  4.9316	     nan	     nan	  1.0000
  2.9010	  4.9316	     nan	     nan	  1.0000
  2.9735	  4.9316	     nan	     nan	  1.0000
  3.0460	  4.9316	     nan	     nan	  1.0000
  3.1185	  4.9316	     nan	     nan	  1.0000
  3.1910	  4.9316	     nan	     nan	  1.0000
  3.2636	  4.9316	     nan	     nan	  1.0000
  3.3361	  4.9316	     nan	     nan	  1.0000
  3.4086	  4.9316	     nan	     nan	  1.0000
  3.4811	  4.9316	     nan	     nan	  1.0000
  3.5537	  4.9316	     nan	     nan	  1.0000
  3.6262	  4.9316	     nan	     nan	  1.0000
  3.6987	  4.9316	     nan	     nan	  1.0000
  3.7712	  4.9316	     nan	     nan	  1.0000
  3.8438	  4.9316	     nan	     nan	  1.0000
  3.9163	  4.9316	     nan	     nan	  1.0000
  3.9888	  4.9316	     nan	     nan	  1.0000
  4.0613	  4.9316	     nan	     nan	  1.0000
  4.1339	  4.9316	     nan	     nan	  1.0000
  4.2064	  4.9316	     nan	     nan	  1.0000
  4.2789	  4.9316	     nan	     nan	  1.0000
  4.3514	  4.9316	     nan	     nan	  1.0000
  4.4240	  4.9316	     nan	     nan	  1.0000
  4.4965	  4.9316	     nan	     nan	  1.0000
  4.5690	  4.9316	     nan	     nan	  1.0000
  4.6415	  4.9316	     nan	     nan	  1.0000
  4.7140	  4.9316	     nan	     nan	  1.0000
  4.7866	  4.9316	     nan	     nan	  1.0000
  4.8591	  4.9316	     nan	     nan	  1.0000
  4.9316	  4.9316	     nan	     nan	  1.0000
  5.0041	  4.9316	     nan	     nan	  1.0000
  5.0767	  4.9316	     nan	     nan	  1.0000
  5.1492	  4.9316	     nan	     nan	  1.0000
  5.2217	  4.9316	     nan	     nan	  1.0000
  0.0725	  4.8591	     nan	     nan	  1.0000
  0.1450	  4.8591	     nan	     nan	  1.0000
  0.2176	  4.8591	     nan	     nan	  1.0000
  0.2901	  4.8591	     nan	     nan	  1.0000
  0.3626	  4.8591	     nan	     nan	  1.0000
  0.4351	  4.8591	     nan	     nan	  1.0000
  0.5077	  4.8591	     nan	     nan	  1.0000
  0.5802	  4.8591	     nan	     nan	  1.0000
  0.6527	  4.8591	     nan	     nan	  1.0000
  0.7252	  4.8591	     nan	     nan	  1.0000
  0.7978	  4.8591	     nan	     nan	  1.0000
  0.8703	  4.8591	     nan	     nan	  1.0000
  0.9428	  4.8591	     nan	     nan	  1.0000
  1.0153	  4.8591	     nan	     nan	  1.0000
  1.0879	  4.8591	     nan	     nan	  1.0000
  1.1604	  4.8591	     nan	     nan	  1.0000
  1.2329	  4.8591	     nan	     nan	  1.0000
  1.3054	  4.8591	     nan	     nan	  1.0000
  1.3780	  4.8591	     nan	     nan	  1.0000
  1.4505	  4.8591	     nan	     nan	  1.0000
  1.5230	  4.8591	     nan	     nan	  1.0000
  1.5955	  4.8591	     nan	     nan	  1.0000
  1.6680	  4.8591	     nan	     nan	  1.0000
  1.7406	  4.8591	     nan	     nan	  1.0000
  1.8131	  4.8591	     nan	     nan	  1.0000
  1.8856	  4.8591	     nan	     nan	  1.0000
  1.9581	  4.8591	     nan	     nan	  1.0000
  2.0307	  4.8591	     nan	     nan	  1.0000
  2.1032	  4.8591	     nan	     nan	  1.0000
  2.1757	  4.8591	     nan	     nan	  1.0000
  2.2482	  4.8591	     nan	     nan	  1.0000
  2.3208	  4.8591	     nan	     nan	  1.0000
  2.3933	  4.8591	     nan	     nan	  1.0000
  2.4658	  4.8591	     nan	     nan	  1.0000
  2.5383	  4.8591	     nan	     nan	  1.0000
  2.6109	  4.8591	     nan	     nan	  1.0000
  2.6834	  4.8591	     nan	     nan	  1.0000
  2.7559	  4.8591	     nan	     nan	  1.0000
  2.8284	  4.8591	     nan	     nan	  1.0000
  2.9010	  4.8591	     nan	     nan	  1.0000
  2.9735	  4.8591	     nan	     nan	  1.0000
  3.0460	  4.8591	     nan	     nan	  1.0000
  3.1185	  4.8591	     nan	     nan	  1.0000
  3.1910	  4.8591	     nan	     nan	  1.0000
  3.2636	  4.8591	     nan	     nan	  1.0000
  3.3361	  4.8591	     nan	     nan	  1.0000
  3.4086	  4.8591	     nan	     nan	  1.0000
  3.4811	  4.8591	     nan	     nan	  1.0000
  3.5537	  4.8591	     nan	     nan	  1.0000
  3.6262	  4.8591	     nan	     nan	  1.0000
  3.6987	  4.8591	     nan	     nan	  1.0000
  3.7712	  4.8591	     nan	     nan	  1.0000
  3.8438	  4.8591	     nan	     nan	  1.0000
  3.9163	  4.8591	     nan	     nan	  1.0000
  3.9888	  4.8591	     nan	     nan	  1.0000
  4.0613	  4.8591	     nan	     nan	  1.0000
  4.1339	  4.8591	     nan	     nan	  1.0000
  4.2064	  4.8591	     nan	     nan	  1.0000
  4.2789	  4.8591	     nan	     nan	  1.0000
  4.3514	  4.8591	     nan	     nan	  1.0000
  4.4240	  4.8591	     nan	     nan	  1.0000
  4.4965	  4.8591	     nan	     nan	  1.0000
  4.5690	  4.8591	     nan	     nan	  1.0000
  4.6415	  4.8591	     nan	     nan	  1.0000
  4.7140	  4.8591	     nan	     nan	  1.0000
  4.7866	  4.8591	     nan	     nan	  1.0000
  4.8591	  4.8591	     nan	     nan	  1.0000
  4.9316	  4.8591	     nan	     nan	  1.0000
  5.0041	  4.8591	     nan	     nan	  1.0000
  5.0767	  4.8591	     nan	     nan	  1.0000
  5.1492	  4.8591	     nan	     nan	  1.0000
  5.2217	  4.8591	     nan	     nan	  1.0000
  0.0725	  4.7866	     nan	     nan	  1.0000
  0.1450	  4.7866	     nan	     nan	  1.0000
  0.2176	  4.7866	     nan	     nan	  1.0000
  0.2901	  4.7866	     nan	     nan	  1.0000
  0.3626	  4.7866	     nan	     nan	  1.0000
  0.4351	  4.7866	     nan	     nan	  1.0000
  0.5077	  4.7866	     nan	     nan	  1.0000
  0.5802	  4.7866	     nan	     nan	  1.0000
  0.6527	  4.7866	     nan	     nan	  1.0000
  0.7252	  4.7866	     nan	     nan	  1.0000
  0.7978	  4.7866	     nan	     nan	  1.0000
  0.8703	  4.7866	     nan	     nan	  1.0000
  0.9428	  4.7866	     nan	     nan	  1.0000
  1.0153	  4.7866	     nan	     nan	  1.0000
  1.0879	  4.7866	     nan	     nan	  1.0000
  1.1604	  4.7866	     nan	     nan	  1.0000
  1.2329	  4.7866	     nan	     nan	  1.0000
  1.3054	  4.7866	     nan	     nan	  1.0000
  1.3780	  4.7866	     nan	     nan	  1.0000
  1.4505	  4.7866	     nan	     nan	  1.0000
  1.5230	  4.7866	     nan	     nan	  1.0000
  1.5955	  4.7866	     nan	     nan	  1.0000
  1.6680	  4.7866	     nan	     nan	  1.0000
